"CITY","STATE","COUNTRY","GENDER","AGE","MARITAL_STATUS","PROFESSION","REPELLENT_NEGTWEETS","REPELLENT","TENT"
"San Luis Obispo","CA","United States","M","23","Single","Other","7","false","true"
"Decatur","AL","United States","F","41","Married","Executive","0","true","false"
"Guangzhou","NA","China","M","28","Single","Trades","11","false","true"
"North Brunswick","NJ","United States","F","30","Married","Other","1","true","true"
"Campinas","BR-SP","Brazil","F","26","Married","Retail","1","true","false"
"Melbourne","Vic","Australia","F","47","Married","Hospitality","6","false","true"
"Rotterdam","NA","Netherlands","M","31","Single","Professional","9","false","true"
"Vancouver","BC","Canada","F","20","Married","Other","1","true","true"
"Kawasaki","NA","Japan","M","23","Single","Sales","1","true","false"
"Randers","NA","Denmark","F","28","Single","Retail","5","false","true"
"Canberra","ACT","Australia","M","29","Single","Professional","6","false","true"
"Aix-en-Provence","NA","France","F","40","Married","Other","4","false","true"
"Vernon","BC","Canada","M","29","Single","Trades","10","false","true"
"Bari","NA","Italy","M","33","Married","Executive","7","false","true"
"Columbia","SC","United States","M","20","Single","Sales","11","false","true"
"Ramsgate","NA","United Kingdom","M","32","Single","Other","5","false","true"
"Brasília","BR-DF","Brazil","M","28","Single","Executive","10","false","true"
"Chongqing","NA","China","F","22","Married","Other","0","true","false"
"Austin","TX","United States","M","39","Married","Executive","5","false","true"
"Chesterfield","NA","United Kingdom","M","19","Single","Other","8","false","true"
"Chongqing","NA","China","F","43","Married","Other","8","false","true"
"Basel","NA","Switzerland","F","34","Married","Retail","9","false","true"
"Aachen","NA","Germany","M","27","Single","Other","8","false","true"
"Edina","MN","United States","M","36","Married","Sales","8","false","true"
"Barnaul","NA","Russia","F","24","Married","Other","2","false","true"
"Port Orchard","WA","United States","F","45","Married","Other","1","true","false"
"Nova Iguaçu","BR-RJ","Brazil","M","25","Single","Trades","7","false","true"
"Gyeongju","NA","Korea","M","38","Married","Other","7","false","true"
"Lille","NA","France","M","20","Single","Other","6","false","true"
"Stratford","ON","Canada","F","42","Married","Other","6","false","true"
"Limoges","NA","France","F","35","Married","Other","1","true","true"
"Tokyo","NA","Japan","M","29","Single","Other","7","false","true"
"Lille","NA","France","M","31","Married","Other","1","true","false"
"Ronse","NA","Belgium","M","32","Married","Executive","6","false","true"
"Claremont","NC","United States","M","24","Single","Professional","5","false","true"
"Dresden","NA","Germany","F","28","Married","Retail","3","true","false"
"Evergem","NA","Belgium","M","29","Single","Sales","5","false","true"
"St. Petersburg","FL","United States","M","32","Married","Other","6","false","true"
"Bielefeld","NA","Germany","M","33","Single","Other","6","false","true"
"Paris","NA","France","M","21","Single","Other","7","false","true"
"Tokyo","NA","Japan","M","20","Single","Professional","10","false","true"
"Sion","NA","Switzerland","F","35","Married","Executive","2","true","false"
"Osnabrück","NA","Germany","F","32","Married","Executive","6","false","true"
"Frankfurt","NA","Germany","M","27","Single","Trades","5","false","true"
"Timóteo","BR-MG","Brazil","F","49","Married","Other","7","false","true"
"Erfurt","NA","Germany","M","21","Single","Executive","7","false","true"
"Wien","NA","Austria","M","38","Single","Sales","7","false","true"
"Crestwood","KY","United States","M","31","Single","Trades","7","false","true"
"Rennes","NA","France","F","42","Unspecified","Hospitality","1","true","false"
"Beijing","NA","China","F","23","Single","Hospitality","7","false","true"
"Indore","NA","India","M","36","Married","Executive","1","true","false"
"Melbourne","Vic","Australia","M","28","Single","Trades","5","false","true"
"Portage La Prairie","MB","Canada","M","31","Married","Executive","10","false","true"
"Chesterfield","NA","United Kingdom","F","47","Married","Executive","0","true","true"
"Hämeenlinna","NA","Finland","F","48","Married","Hospitality","8","false","true"
"Shijiazhuang","NA","China","M","43","Married","Sales","7","false","true"
"New Salisbury","IN","United States","F","43","Unspecified","Hospitality","3","true","false"
"Cocoa","FL","United States","F","43","Unspecified","Hospitality","4","false","true"
"Shijiazhuang","NA","China","M","29","Single","Professional","7","false","true"
"Sudbury","ON","Canada","M","31","Married","Trades","7","false","true"
"Bern","NA","Switzerland","F","44","Married","Other","5","false","true"
"Palermo","PA","Italy","F","27","Single","Other","1","true","false"
"Kamloops","BC","Canada","M","21","Single","Student","4","false","true"
"Halfway","OR","United States","M","29","Single","Sales","8","false","true"
"Campinas","BR-SP","Brazil","F","30","Married","Executive","11","false","true"
"North Brunswick","NJ","United States","F","46","Married","Retired","7","false","true"
"Hiroshima","NA","Japan","M","21","Single","Executive","5","false","true"
"Guadalajara","NA","Mexico","M","25","Single","Trades","8","false","true"
"Busan","NA","Korea","F","30","Married","Other","1","true","false"
"Saint-Etienne","NA","France","M","34","Single","Other","7","false","true"
"Bremen","NA","Germany","M","23","Single","Trades","7","false","true"
"Adelaide","SA","Australia","M","25","Married","Other","12","false","true"
"Adelaide","SA","Australia","M","43","Married","Other","11","false","true"
"Heidelberg","NA","Germany","M","44","Married","Sales","8","false","true"
"Nice","NA","France","M","21","Single","Trades","8","false","true"
"Saarbrücken","NA","Germany","M","26","Single","Other","5","false","true"
"Chongqing","NA","China","F","31","Unspecified","Other","1","true","false"
"Viborg","NA","Denmark","M","30","Married","Sales","7","false","true"
"Fuxin","NA","China","M","41","Married","Trades","6","false","true"
"Heihe","NA","China","F","48","Married","Executive","6","false","true"
"Duque de Caxias","BR-RJ","Brazil","M","37","Married","Executive","6","false","true"
"Kotka","NA","Finland","M","39","Married","Trades","6","false","true"
"Qingdao","NA","China","F","20","Single","Other","0","true","false"
"Sakai","NA","Japan","F","25","Unspecified","Other","3","true","false"
"Guangzhou","NA","China","F","47","Married","Other","3","false","true"
"Bonn","NA","Germany","F","23","Married","Retail","5","false","true"
"Fukuoka","NA","Japan","M","21","Single","Other","9","false","true"
"Zell am See","NA","Austria","F","33","Married","Hospitality","1","true","true"
"Melbourne","Vic","Australia","M","25","Single","Trades","6","false","true"
"Puerto Vallarta","NA","Mexico","M","21","Single","Trades","3","false","true"
"Home","KS","United States","M","19","Single","Trades","3","false","true"
"Barnet","NA","United Kingdom","F","24","Single","Hospitality","5","false","true"
"Millstatt","NA","Austria","M","42","Married","Trades","3","false","true"
"Kunsan","NA","Korea","M","30","Married","Sales","10","false","true"
"Bonn","NA","Germany","M","35","Married","Sales","7","false","true"
"Guangzhou","NA","China","M","23","Single","Executive","7","false","true"
"Tijuana","NA","Mexico","M","34","Married","Sales","8","false","true"
"Suwon","NA","Korea","F","49","Married","Hospitality","5","false","true"
"Palermo","NA","Italy","M","20","Single","Professional","9","false","true"
"Liverpool","NA","United Kingdom","F","37","Married","Executive","6","false","true"
"Dübendorf","NA","Switzerland","M","32","Single","Professional","1","true","false"
"Chengdu","NA","China","F","38","Married","Other","2","false","true"
"Bromont","QC","Canada","F","23","Single","Other","2","true","false"
"Sion","NA","Switzerland","F","44","Married","Other","2","true","false"
"Inta","NA","Russia","M","36","Single","Executive","7","false","true"
"Aix-en-Provence","NA","France","F","44","Married","Other","0","true","false"
"Shijiazhuang","NA","China","F","38","Single","Retail","2","true","false"
"Nova Iguaçu","BR-RJ","Brazil","M","23","Single","Trades","6","false","true"
"Pamplona","NA","Spain","M","34","Married","Sales","5","false","true"
"Bedford","NA","United Kingdom","M","28","Single","Other","1","false","true"
"Towson","MD","United States","F","49","Married","Other","2","false","true"
"Southwark","NA","United Kingdom","F","30","Unspecified","Other","1","true","false"
"Orangeburg","SC","United States","M","23","Single","Other","6","false","true"
"Nice","NA","France","M","29","Single","Other","6","false","true"
"Playa del Carmen","NA","Mexico","F","45","Married","Executive","2","true","false"
"Nässjö","NA","Sweden","F","42","Married","Other","5","false","true"
"Santa Barbara","CA","United States","F","48","Married","Retired","6","false","true"
"Tachikawa","NA","Japan","M","36","Unspecified","Sales","8","false","true"
"Frederikshavn","NA","Denmark","M","26","Single","Professional","7","false","true"
"Saskatoon","SK","Canada","M","33","Married","Executive","5","false","true"
"Canberra","ACT","Australia","M","26","Single","Sales","6","false","true"
"København","NA","Denmark","F","34","Married","Other","2","true","false"
"Cupertino","CA","United States","M","27","Married","Other","7","false","true"
"Saskatoon","SK","Canada","F","21","Married","Retail","1","true","true"
"Wilkes Barre","PA","United States","M","41","Married","Executive","9","false","true"
"Caen","NA","France","M","20","Single","Other","1","false","true"
"Gmunden","NA","Austria","M","22","Single","Trades","4","false","true"
"Puerto Vallarta","NA","Mexico","M","42","Married","Other","6","false","true"
"Qiqihaer","NA","China","F","26","Single","Student","3","true","false"
"Bromley","NA","United Kingdom","F","45","Married","Executive","4","false","true"
"Salerno","SA","Italy","M","27","Single","Student","4","false","true"
"Erfurt","NA","Germany","M","33","Married","Sales","6","false","true"
"Fredericia","NA","Denmark","M","31","Married","Trades","6","false","true"
"Fuquay Varina","NC","United States","M","41","Married","Sales","7","false","true"
"Canberra","ACT","Australia","F","49","Unspecified","Hospitality","7","false","true"
"Rennes","NA","France","M","21","Single","Sales","2","true","false"
"Suwa","NA","Japan","M","38","Married","Other","2","true","false"
"Kunsan","NA","Korea","M","24","Single","Professional","5","false","true"
"Puerto Vallarta","NA","Mexico","M","25","Single","Other","7","false","true"
"Zaragoza","NA","Spain","M","19","Single","Professional","8","false","true"
"Dübendorf","NA","Switzerland","M","26","Single","Executive","7","false","true"
"Enschede","NA","Netherlands","M","32","Single","Other","4","false","true"
"Cornerbrook","NL","Canada","M","20","Single","Trades","10","false","true"
"Perpignan","NA","France","F","36","Married","Other","6","false","true"
"Yevatmal","AP","India","M","34","Single","Other","5","false","true"
"Nancy","NA","France","M","22","Single","Sales","8","false","true"
"Köln","NA","Germany","M","25","Single","Other","6","false","true"
"Potsdam","NA","Germany","M","25","Single","Other","7","false","true"
"Adelaide","SA","Australia","M","21","Single","Professional","8","false","true"
"Beijing","NA","China","M","21","Single","Other","6","false","true"
"Shijiazhuang","NA","China","F","37","Married","Professional","9","false","true"
"Astrakhan","NA","Russia","M","27","Single","Other","4","false","true"
"Portage La Prairie","MB","Canada","F","28","Single","Other","1","true","false"
"Montrose","CO","United States","M","27","Single","Other","6","false","true"
"Beijing","NA","China","M","28","Single","Executive","6","false","true"
"Sion","NA","Switzerland","M","38","Married","Other","6","false","true"
"Jeonju","NA","Korea","F","49","Married","Executive","5","false","true"
"Quepem","GJ","India","M","44","Married","Sales","1","true","false"
"Genève","NA","Switzerland","M","22","Single","Trades","6","false","true"
"Genova","NA","Italy","M","29","Single","Other","7","false","true"
"Palermo","NA","Italy","M","34","Married","Professional","7","false","true"
"Wenatchee","WA","United States","M","41","Married","Other","5","false","true"
"Vejle","NA","Denmark","F","39","Unspecified","Hospitality","3","true","false"
"Chyofu","NA","Japan","M","41","Single","Other","9","false","true"
"Eskilstuna","NA","Sweden","M","20","Single","Trades","7","false","true"
"Chelmsford","NA","United Kingdom","M","23","Single","Other","7","false","true"
"Brasília","BR-DF","Brazil","M","39","Married","Sales","7","false","true"
"Qingdao","NA","China","F","41","Married","Other","8","false","true"
"Perth","WA","Australia","F","20","Married","Retail","0","true","false"
"Centennial","CO","United States","M","27","Single","Other","6","false","true"
"Bern","NA","Switzerland","M","27","Single","Other","3","true","false"
"Lexington","KY","United States","M","27","Single","Professional","5","false","true"
"Fuxin","NA","China","F","31","Married","Other","0","true","false"
"Parma","PR","Italy","F","43","Married","Other","7","false","true"
"Erfurt","NA","Germany","M","30","Single","Trades","7","false","true"
"Amsterdam","NA","Netherlands","F","47","Married","Retail","6","false","true"
"Brest","NA","France","M","26","Single","Other","7","false","true"
"Caen","NA","France","F","48","Unspecified","Hospitality","2","true","false"
"New York City","NY","United States","M","28","Single","Trades","4","false","true"
"Vladivostok","NA","Russia","M","26","Single","Other","9","false","true"
"Perugia","PG","Italy","F","30","Unspecified","Other","6","false","true"
"Chicago","IL","United States","M","37","Married","Other","2","false","true"
"Salvador","BR-BA","Brazil","F","35","Unspecified","Hospitality","7","false","true"
"Ridgeland","MS","United States","M","28","Single","Executive","7","false","true"
"Marseille","NA","France","F","38","Married","Other","9","false","true"
"Dresden","NA","Germany","F","39","Single","Retail","3","true","true"
"Brampton","ON","Canada","M","40","Married","Sales","6","false","true"
"Singapore","Singapore","Singapore","M","32","Married","Other","7","false","true"
"Århus","NA","Denmark","F","30","Married","Other","1","true","false"
"Spokane","WA","United States","M","36","Unspecified","Sales","10","false","true"
"Aachen","NA","Germany","M","28","Single","Trades","7","false","true"
"Bielefeld","NA","Germany","F","35","Married","Executive","1","true","false"
"Las Vegas","NV","United States","F","39","Single","Professional","7","false","true"
"Napoli","NA","Italy","M","26","Single","Trades","8","false","true"
"Exeter","NA","United Kingdom","M","30","Single","Trades","6","false","true"
"Vernon","BC","Canada","M","29","Married","Sales","7","false","true"
"Pamplona","NA","Spain","F","24","Married","Other","8","false","true"
"Hong Kong","NA","China","F","46","Married","Executive","4","true","false"
"Aix-en-Provence","NA","France","M","32","Single","Professional","5","false","true"
"Chihuahua","NA","Mexico","F","31","Married","Other","6","false","true"
"Guangzhou","NA","China","M","40","Married","Executive","4","false","true"
"Ramsgate","NA","United Kingdom","M","26","Single","Professional","4","false","true"
"Cincinnati","OH","United States","F","21","Married","Retail","2","true","false"
"Chengdu","NA","China","M","26","Single","Professional","9","false","true"
"Poulsbo","WA","United States","M","20","Single","Professional","8","false","true"
"Stevenage","NA","United Kingdom","F","22","Married","Other","2","true","false"
"Basildon","NA","United Kingdom","M","25","Single","Other","4","false","true"
"Bregenz","NA","Austria","M","24","Single","Executive","7","false","true"
"Liverpool","NA","United Kingdom","M","23","Single","Other","6","false","true"
"Pachuca de Soto","NA","Mexico","M","25","Single","Trades","5","false","true"
"Canberra","ACT","Australia","M","23","Single","Trades","6","false","true"
"Suwa","NA","Japan","M","26","Single","Sales","7","false","true"
"Krems","NA","Austria","M","26","Single","Professional","5","false","true"
"Everett","WA","United States","F","49","Married","Other","1","true","false"
"Madrid","M","Spain","F","46","Married","Executive","0","true","false"
"Sydney","NSW","Australia","M","31","Married","Trades","11","false","true"
"Chemnitz","NA","Germany","F","41","Unspecified","Hospitality","0","true","true"
"Palm Bay","FL","United States","M","19","Single","Trades","6","false","true"
"Mendota Heights","MN","United States","F","25","Single","Other","7","false","true"
"Beijing","NA","China","F","24","Married","Retail","1","true","true"
"Guangzhou","NA","China","F","44","Married","Other","0","true","true"
"Regina","SK","Canada","M","21","Single","Other","9","false","true"
"Chengdu","NA","China","M","32","Married","Sales","5","false","true"
"Chantilly","VA","United States","F","45","Married","Other","5","true","false"
"Salerno","SA","Italy","M","33","Married","Other","6","false","true"
"Hamburg","NA","Germany","M","26","Single","Professional","7","false","true"
"St. Pölten","NA","Austria","F","34","Single","Other","0","true","false"
"Eastbourne","NA","United Kingdom","M","19","Single","Student","6","false","true"
"Groningen","NA","Netherlands","M","19","Single","Other","7","false","true"
"Singapore","Singapore","Singapore","M","25","Single","Other","5","false","true"
"Tolyatti","NA","Russia","M","27","Married","Sales","3","false","true"
"Niquelândia","BR-GO","Brazil","M","28","Single","Professional","6","false","true"
"Greenwhich","NA","United Kingdom","M","29","Single","Other","7","false","true"
"Clearwater","FL","United States","F","49","Married","Executive","2","true","false"
"Caen","NA","France","M","23","Single","Professional","4","false","true"
"Strasbourg","NA","France","M","19","Single","Executive","6","false","true"
"Frankfurt","NA","Germany","M","26","Single","Trades","7","false","true"
"Rio de Janeiro","BR-RJ","Brazil","F","34","Unspecified","Other","3","true","false"
"Liverpool","NA","United Kingdom","M","19","Single","Other","7","false","true"
"Bellinzona","NA","Switzerland","F","29","Married","Other","0","true","false"
"Bordeaux","NA","France","M","19","Single","Other","7","false","true"
"Stuttgart","NA","Germany","M","26","Married","Sales","1","true","false"
"Lennoxville","QC","Canada","F","38","Married","Retail","2","true","false"
"Cerritos","CA","United States","F","45","Married","Executive","7","false","true"
"Playa del Carmen","NA","Mexico","M","26","Married","Executive","8","false","true"
"Brest","NA","France","M","33","Married","Other","2","true","true"
"Fuxin","NA","China","M","41","Married","Sales","9","false","true"
"Valencia","NA","Spain","M","39","Single","Executive","4","false","true"
"Singapore","Singapore","Singapore","F","36","Married","Retail","2","true","true"
"San Pedro Garza García","NA","Mexico","M","31","Married","Sales","1","true","true"
"Angers","NA","France","M","24","Single","Other","4","false","true"
"Arlington","VA","United States","F","45","Married","Executive","2","false","true"
"Duque de Caxias","BR-RJ","Brazil","M","39","Single","Sales","4","false","true"
"Fukushima","NA","Japan","M","38","Married","Trades","7","false","true"
"Parma","PR","Italy","F","30","Married","Other","0","true","false"
"Anchorage","AK","United States","M","33","Single","Professional","8","false","true"
"Catania","CT","Italy","M","22","Single","Sales","4","false","true"
"Akishima","NA","Japan","F","37","Unspecified","Other","2","true","false"
"Strasbourg","NA","France","M","30","Married","Executive","5","false","true"
"Mukilteo","WA","United States","F","26","Single","Other","5","false","true"
"Fairbanks","AK","United States","M","35","Married","Sales","2","true","true"
"New Richmond","WI","United States","M","21","Single","Other","12","false","true"
"Aalst","NA","Belgium","F","49","Married","Other","4","false","true"
"Bari","NA","Italy","F","34","Married","Professional","2","true","false"
"Puerto Vallarta","NA","Mexico","F","30","Unspecified","Other","2","true","false"
"Higashimurayama","NA","Japan","F","25","Single","Other","2","true","false"
"Singapore","Singapore","Singapore","M","34","Married","Sales","8","false","true"
"Basildon","NA","United Kingdom","F","41","Married","Other","3","true","false"
"Leicester","NA","United Kingdom","F","30","Married","Other","1","true","false"
"Manaus","BR-AM","Brazil","M","22","Single","Trades","8","false","true"
"Petrópolis","BR-RJ","Brazil","M","24","Single","Professional","6","false","true"
"Singapore","Singapore","Singapore","F","69","Married","Other","1","true","false"
"Alexandria","VA","United States","F","33","Unspecified","Other","2","true","false"
"Nässjö","NA","Sweden","F","36","Married","Other","2","true","false"
"Rotterdam","NA","Netherlands","M","35","Married","Sales","8","false","true"
"Navegantes","BR-SC","Brazil","F","34","Married","Other","8","false","true"
"Toledo","NA","Spain","M","26","Single","Trades","6","false","true"
"Perpignan","NA","France","M","21","Single","Trades","8","false","true"
"Edmonton","AB","Canada","M","29","Single","Other","8","false","true"
"Sydney","NSW","Australia","F","30","Married","Other","2","true","false"
"Northampton","NA","United Kingdom","F","29","Single","Other","2","true","false"
"Westport","ON","Canada","M","26","Single","Other","6","false","true"
"Anchorage","AK","United States","F","20","Single","Hospitality","6","false","true"
"Banglore","KA","India","M","23","Single","Executive","6","false","true"
"Erfurt","NA","Germany","M","21","Single","Retail","7","false","true"
"Saltillo","NA","Mexico","F","27","Single","Other","8","false","true"
"Chandigarh","HR","India","M","40","Married","Trades","7","false","true"
"Düsseldorf","NA","Germany","F","24","Married","Retail","6","false","true"
"Uppsala","NA","Sweden","F","20","Single","Other","7","false","true"
"Altadena","CA","United States","M","21","Single","Trades","4","false","true"
"Málaga","NA","Spain","F","35","Married","Other","4","false","true"
"Schladming","NA","Austria","M","41","Married","Executive","9","false","true"
"Palermo","NA","Italy","F","35","Married","Other","1","true","false"
"Cixi","NA","China","F","34","Married","Retail","6","false","true"
"Leicester","NA","United Kingdom","M","30","Married","Student","5","false","true"
"Portland","OR","United States","M","32","Married","Sales","4","false","true"
"Hiroshima","NA","Japan","F","31","Married","Other","3","true","false"
"Niquelândia","BR-GO","Brazil","M","34","Single","Student","8","false","true"
"Brunn am Gebirge","NA","Austria","F","27","Single","Student","0","true","false"
"Manzanilo","NA","Mexico","F","37","Unspecified","Hospitality","1","true","false"
"Krems","NA","Austria","M","20","Single","Sales","5","false","true"
"Gmunden","NA","Austria","M","25","Single","Executive","6","false","true"
"Göteborg","NA","Sweden","F","41","Married","Other","3","true","false"
"Suitland","MD","United States","F","49","Married","Other","8","false","true"
"Århus","NA","Denmark","F","48","Married","Executive","6","false","true"
"Tilburg","NA","Netherlands","F","21","Single","Other","1","true","false"
"Estacada","OR","United States","F","24","Single","Other","5","false","true"
"Genève","NA","Switzerland","F","40","Married","Executive","0","true","false"
"Tours","NA","France","F","24","Married","Retail","3","true","false"
"Kiyose","NA","Japan","F","40","Married","Other","6","false","true"
"Houston","TX","United States","F","48","Unspecified","Hospitality","0","true","false"
"Firenze","FI","Italy","M","27","Single","Professional","8","false","true"
"Syracuse","NY","United States","M","24","Single","Other","8","false","true"
"Changchun","NA","China","M","29","Single","Executive","5","false","true"
"Auburn University","AL","United States","F","20","Single","Other","7","false","true"
"Croydon","NA","United Kingdom","F","30","Unspecified","Other","1","true","false"
"Torino","NA","Italy","M","20","Single","Professional","7","false","true"
"Salem","OR","United States","M","22","Single","Professional","7","false","true"
"Matoaca","VA","United States","F","19","Single","Student","2","true","false"
"Salmon Arm","BC","Canada","F","37","Married","Other","1","true","false"
"Marseille","NA","France","M","26","Single","Student","5","false","true"
"Pamplona","NA","Spain","F","35","Unspecified","Hospitality","1","true","false"
"Lethbridge","AB","Canada","M","22","Single","Other","9","false","true"
"Kyoto","NA","Japan","F","48","Unspecified","Hospitality","8","false","true"
"Uppsala","NA","Sweden","F","22","Single","Hospitality","8","false","true"
"Singapore","Singapore","Singapore","M","30","Married","Trades","5","false","true"
"Rennes","NA","France","M","21","Single","Executive","4","false","true"
"Lappeenranta","NA","Finland","F","31","Married","Other","2","true","false"
"Dübendorf","NA","Switzerland","M","28","Single","Trades","4","false","true"
"Vejle","NA","Denmark","M","32","Married","Other","1","true","false"
"Stans","NA","Austria","F","37","Married","Retail","1","true","false"
"Paranaguá","BR-PR","Brazil","M","23","Single","Student","7","false","true"
"Havana","FL","United States","F","37","Married","Executive","1","true","false"
"Columbus","OH","United States","M","25","Single","Sales","8","false","true"
"Perth","WA","Australia","M","28","Married","Other","7","false","true"
"Düsseldorf","NA","Germany","M","33","Married","Executive","5","false","true"
"Suwa","NA","Japan","F","28","Married","Other","0","true","false"
"Tachikawa","NA","Japan","M","25","Unspecified","Sales","8","false","true"
"Heihe","NA","China","F","26","Married","Other","8","false","true"
"Sendai","NA","Japan","F","33","Married","Executive","3","true","false"
"Portsmouth","NA","United Kingdom","M","40","Unspecified","Trades","5","false","true"
"Yarmouth","NS","Canada","M","22","Single","Other","10","false","true"
"San Francisco","CA","United States","F","45","Married","Other","3","true","false"
"Puebla","NA","Mexico","M","57","Married","Professional","6","false","true"
"Helen","GA","United States","M","33","Married","Trades","6","false","true"
"Berlin","NA","Germany","F","34","Married","Other","0","true","true"
"Fuxin","NA","China","M","24","Single","Trades","6","false","true"
"Brunn am Gebirge","NA","Austria","M","19","Single","Trades","5","false","true"
"Nässjö","NA","Sweden","F","20","Married","Other","2","true","false"
"Lappeenranta","NA","Finland","M","30","Married","Other","6","false","true"
"Canberra","ACT","Australia","F","32","Married","Other","3","true","true"
"Arlington","VA","United States","M","26","Single","Trades","7","false","true"
"Calgary","AB","Canada","F","32","Married","Executive","9","false","true"
"Regensburg","NA","Germany","M","31","Married","Other","6","false","true"
"Lennoxville","QC","Canada","F","44","Married","Other","8","false","true"
"Lübeck","NA","Germany","M","21","Single","Sales","9","false","true"
"Niterói","BR-RJ","Brazil","M","21","Single","Other","0","true","false"
"Singapore","Singapore","Singapore","M","35","Single","Sales","8","false","true"
"Sion","NA","Switzerland","M","26","Single","Executive","7","false","true"
"Great Yarmouth","NA","United Kingdom","F","34","Married","Hospitality","6","false","true"
"Chelmsford","NA","United Kingdom","F","31","Married","Executive","2","true","false"
"Kobe","NA","Japan","F","33","Married","Hospitality","6","false","true"
"Boden","NA","Sweden","F","46","Married","Executive","10","false","true"
"Gorakhpur","MH","India","M","21","Single","Other","7","false","true"
"Bridgeview","IL","United States","M","40","Married","Other","5","false","true"
"Bellinzona","NA","Switzerland","F","41","Unspecified","Hospitality","6","false","true"
"Chongqing","NA","China","F","38","Married","Other","0","true","false"
"Caen","NA","France","M","28","Single","Professional","9","false","true"
"São Bernardo do Campo","BR-SP","Brazil","F","23","Single","Other","10","false","true"
"Stuttgart","NA","Germany","M","24","Single","Professional","6","false","true"
"Amsterdam","NA","Netherlands","M","44","Married","Trades","8","false","true"
"Chandigarh","NA","India","F","26","Single","Other","4","false","true"
"Zapopan","NA","Mexico","M","30","Married","Trades","9","false","true"
"Higashimurayama","NA","Japan","M","22","Single","Professional","6","false","true"
"Redbridge","NA","United Kingdom","M","22","Single","Trades","10","false","true"
"Sion","NA","Switzerland","M","21","Single","Trades","5","false","true"
"Yellowknife","NT","Canada","M","56","Married","Professional","0","true","false"
"Eastbourne","NA","United Kingdom","F","41","Married","Executive","5","false","true"
"San Diego","CA","United States","M","30","Married","Trades","7","false","true"
"Brasília","BR-DF","Brazil","F","38","Married","Retail","2","true","true"
"Angers","NA","France","F","25","Married","Other","2","true","true"
"Jeonju","NA","Korea","M","31","Married","Sales","0","true","false"
"Hagerstown","MD","United States","F","48","Married","Other","4","false","true"
"Kunsan","NA","Korea","F","33","Married","Other","1","true","false"
"Musashino","NA","Japan","M","23","Single","Sales","3","true","false"
"Madison","WI","United States","F","48","Married","Executive","7","false","true"
"Tijuana","NA","Mexico","F","47","Married","Other","10","false","true"
"Saugus","MA","United States","F","26","Single","Other","6","false","true"
"Chengdu","NA","China","M","30","Married","Other","6","false","true"
"Smolensk","NA","Russia","F","23","Married","Retail","2","true","false"
"Stuttgart","NA","Germany","M","33","Married","Sales","3","false","true"
"Samara","NA","Russia","F","36","Unspecified","Other","0","true","false"
"Salmon Arm","BC","Canada","F","40","Married","Other","2","true","false"
"Beijing","NA","China","F","22","Single","Hospitality","11","false","true"
"Canberra","ACT","Australia","F","21","Single","Hospitality","7","false","true"
"Firenze","NA","Italy","F","35","Married","Other","6","false","true"
"Queretaro","NA","Mexico","F","41","Married","Other","6","false","true"
"Hyderabad","NA","India","M","37","Married","Executive","3","false","true"
"Pohang","NA","Korea","M","26","Single","Professional","8","false","true"
"Acapulco","NA","Mexico","M","37","Married","Sales","6","false","true"
"Beijing","NA","China","M","25","Single","Professional","9","false","true"
"Angers","NA","France","M","22","Single","Executive","10","false","true"
"Sendai","NA","Japan","M","34","Single","Professional","6","false","true"
"Stavropol","NA","Russia","M","34","Single","Other","1","false","true"
"Manaus","BR-AM","Brazil","F","39","Married","Executive","5","false","true"
"Charleroi","NA","Belgium","M","32","Single","Executive","3","false","true"
"Heihe","NA","China","M","25","Single","Trades","3","false","true"
"Campinas","BR-SP","Brazil","M","33","Single","Sales","8","false","true"
"Volta Redonda","BR-RJ","Brazil","F","37","Married","Other","7","false","true"
"Hiroshima","NA","Japan","M","22","Single","Other","7","false","true"
"Fukui","NA","Japan","M","32","Single","Trades","6","false","true"
"Basildon","NA","United Kingdom","M","25","Single","Professional","6","false","true"
"San Francisco","CA","United States","F","31","Married","Hospitality","6","false","true"
"Singapore","Singapore","Singapore","F","21","Married","Other","2","true","false"
"Chengdu","NA","China","M","33","Married","Other","6","false","true"
"Saratov","NA","Russia","F","41","Married","Other","10","false","true"
"Liverpool","NA","United Kingdom","F","33","Married","Executive","9","false","true"
"Brest","NA","France","M","29","Single","Sales","8","false","true"
"Dresden","NA","Germany","F","41","Married","Other","2","true","false"
"Sedaví","NA","Spain","M","23","Single","Trades","7","false","true"
"Venezia","VE","Italy","M","32","Single","Other","5","false","true"
"Lambeth","NA","United Kingdom","F","45","Married","Executive","7","false","true"
"Flin Flon","MB","Canada","M","26","Single","Other","9","false","true"
"Nimes","NA","France","F","25","Married","Other","3","false","true"
"Hämeenlinna","NA","Finland","F","33","Married","Other","5","true","false"
"Perpignan","NA","France","F","46","Married","Executive","9","false","true"
"Basildon","NA","United Kingdom","F","33","Unspecified","Other","1","true","false"
"Lübeck","NA","Germany","M","19","Single","Other","9","false","true"
"Logroño","LO","Spain","M","20","Single","Other","8","false","true"
"Köln","NA","Germany","F","32","Married","Retail","1","true","false"
"Hamburg","NA","Germany","F","38","Married","Other","3","true","false"
"St. Louis","MO","United States","M","22","Single","Trades","4","false","true"
"Wuhan","NA","China","M","23","Single","Other","6","false","true"
"San Jose","CA","United States","M","24","Single","Other","9","false","true"
"Chyofu","NA","Japan","M","26","Single","Professional","8","false","true"
